year,date,rainfall
1902,1901-03-20,0.0
1902,1901-03-21,0.0
1902,1901-03-22,0.0
1902,1901-03-23,0.0
1902,1901-03-24,0.0
1902,1901-03-25,0.0
1902,1901-03-26,0.0
1902,1901-03-27,38.9
1902,1901-03-28,0.0
1902,1901-03-29,0.0
1902,1901-03-30,0.0
1902,1901-03-31,0.0
1902,1901-04-01,0.0
1902,1901-04-02,0.0
1902,1901-04-03,0.0
1902,1901-04-04,0.0
1902,1901-04-05,0.0
1902,1901-04-06,0.0
1902,1901-04-07,0.0
1902,1901-04-08,0.0
1902,1901-04-09,0.0
1902,1901-04-10,2.3
1902,1901-04-11,0.0
1902,1901-04-12,2.8
1902,1901-04-13,0.0
1902,1901-04-14,0.0
1902,1901-04-15,0.0
1902,1901-04-16,0.0
1902,1901-04-17,3.0
1902,1901-04-18,4.6
1902,1901-04-19,11.9
1902,1901-04-20,1.8
1902,1901-04-21,0.0
1902,1901-04-22,0.0
1902,1901-04-23,0.0
1902,1901-04-24,1.3
1902,1901-04-25,0.0
1902,1901-04-26,0.0
1902,1901-04-27,0.0
1902,1901-04-28,0.0
1902,1901-04-29,0.0
1902,1901-04-30,0.0
1902,1901-05-01,0.5
1902,1901-05-02,3.0
1902,1901-05-03,2.0
1902,1901-05-04,0.0
1902,1901-05-05,0.0
1902,1901-05-06,0.0
1902,1901-05-07,0.0
1902,1901-05-08,0.0
1902,1901-05-09,0.0
1902,1901-05-10,0.0
1902,1901-05-11,0.0
1902,1901-05-12,0.0
1902,1901-05-13,0.0
1902,1901-05-14,0.0
1902,1901-05-15,0.0
1902,1901-05-16,0.0
1902,1901-05-17,0.0
1902,1901-05-18,0.3
1902,1901-05-19,0.0
1902,1901-05-20,0.0
1902,1901-05-21,0.0
1902,1901-05-22,0.0
1902,1901-05-23,0.0
1902,1901-05-24,0.0
1902,1901-05-25,0.0
1902,1901-05-26,0.0
1902,1901-05-27,0.0
1902,1901-05-28,0.0
1902,1901-05-29,0.0
1902,1901-05-30,0.0
1902,1901-05-31,0.0
1902,1901-06-01,0.0
1902,1901-06-02,0.0
1902,1901-06-03,0.0
1902,1901-06-04,0.0
1902,1901-06-05,0.0
1902,1901-06-06,0.0
1902,1901-06-07,0.0
1902,1901-06-08,0.0
1902,1901-06-09,0.0
1902,1901-06-10,0.0
1902,1901-06-11,0.0
1902,1901-06-12,0.0
1902,1901-06-13,0.0
1902,1901-06-14,0.0
1902,1901-06-15,0.0
1902,1901-06-16,0.0
1902,1901-06-17,0.0
1902,1901-06-18,0.0
1902,1901-06-19,0.0
1902,1901-06-20,0.0
1902,1901-06-21,0.0
1902,1901-06-22,0.0
1902,1901-06-23,0.0
1902,1901-06-24,0.0
1902,1901-06-25,0.0
1902,1901-06-26,0.0
1902,1901-06-27,0.0
1902,1901-06-28,0.0
1902,1901-06-29,0.0
1902,1901-06-30,0.0
1902,1900-07-01,0.0
1902,1900-07-02,0.3
1902,1900-07-03,1.3
1902,1900-07-04,2.3
1902,1900-07-05,0.0
1902,1900-07-06,0.0
1902,1900-07-07,0.0
1902,1900-07-08,0.0
1902,1900-07-09,0.0
1902,1900-07-10,0.0
1902,1900-07-11,0.0
1902,1900-07-12,0.0
1902,1900-07-13,0.0
1902,1900-07-14,0.0
1902,1900-07-15,0.0
1902,1900-07-16,0.0
1902,1900-07-17,0.0
1902,1900-07-18,0.0
1902,1900-07-19,0.0
1902,1900-07-20,0.0
1902,1900-07-21,0.0
1902,1900-07-22,0.0
1902,1900-07-23,0.0
1902,1900-07-24,0.0
1902,1900-07-25,0.0
1902,1900-07-26,0.0
1902,1900-07-27,0.0
1902,1900-07-28,1.3
1902,1900-07-29,4.1
1902,1900-07-30,0.0
1902,1900-07-31,0.0
1902,1900-08-01,0.0
1902,1900-08-02,0.0
1902,1900-08-03,0.0
1902,1900-08-04,0.0
1902,1900-08-05,0.0
1902,1900-08-06,0.0
1902,1900-08-07,0.0
1902,1900-08-08,0.0
1902,1900-08-09,0.0
1902,1900-08-10,2.5
1902,1900-08-11,0.0
1902,1900-08-12,0.0
1902,1900-08-13,0.0
1902,1900-08-14,0.0
1902,1900-08-15,0.0
1902,1900-08-16,0.0
1902,1900-08-17,0.0
1902,1900-08-18,4.6
1902,1900-08-19,0.0
1902,1900-08-20,0.0
1902,1900-08-21,0.0
1902,1900-08-22,0.0
1902,1900-08-23,0.0
1902,1900-08-24,0.0
1902,1900-08-25,0.0
1902,1900-08-26,0.0
1902,1900-08-27,0.0
1902,1900-08-28,12.7
1902,1900-08-29,0.0
1902,1900-08-30,0.0
1902,1900-08-31,4.1
1902,1900-09-01,1.3
1902,1900-09-02,0.0
1902,1900-09-03,0.0
1902,1900-09-04,0.0
1902,1900-09-05,0.0
1902,1900-09-06,0.0
1902,1900-09-07,0.0
1902,1900-09-08,0.0
1902,1900-09-09,0.0
1902,1900-09-10,0.0
1902,1900-09-11,0.0
1902,1900-09-12,0.0
1902,1900-09-13,0.0
1902,1900-09-14,0.0
1902,1900-09-15,0.0
1902,1900-09-16,0.0
1902,1900-09-17,0.0
1902,1900-09-18,0.0
1902,1900-09-19,0.0
1902,1900-09-20,0.0
1902,1900-09-21,0.0
1902,1900-09-22,0.0
1902,1900-09-23,18.5
1902,1900-09-24,9.7
1902,1900-09-25,0.0
